"","sensor_type","pno","part_nm","count","rank"
"463","bat11","393502A410","SENSOR-LAMBDA",69,1
"394","bat11","96560C5000WK","HEAD UNIT ASSY-AVN",34,2
"324","bat11","37110C5902","BATTERY ASSY",30,3
"393","bat11","5F0252FH00","HEAD ASSY-CYLINDER",26,4
"459","bat11","37180C5001","SENSOR ASSY-BATTERY",26,5
"480","bat11","85835C5100WK","TRIM ASSY-CTR PILLAR LWR LH",20,6
"363","bat11","391002FBB3","ELECTRONIC CONTROL UNIT",19,7
"454","bat11","88820C5200BGA","S/BELT ASSY-FR RH",19,8
"340","bat11","93490C5100","CONTACT ASSY-CLOCK SPRING",18,9
"328","bat11","84645C5000","BOOT ASSY-SHIFT LEVER",16,10
"728","cgw1","393502A410","SENSOR-LAMBDA",125,1
"554","cgw1","224102F600","COVER ASSY-ROCKER",59,2
"616","cgw1","96560C5000WK","HEAD UNIT ASSY-AVN",58,3
"716","cgw1","94460C5000","SENDER ASSY-FUEL TANK",50,4
"615","cgw1","5F0252FH00","HEAD ASSY-CYLINDER",42,5
"618","cgw1","85410C5030BGA","HEADLINING ASSY",35,6
"723","cgw1","95720C5050BK1","SENSOR ASSY-ULTRASONIC BWS",33,7
"531","cgw1","84645C5000","BOOT ASSY-SHIFT LEVER",28,8
"573","cgw1","391002FBB3","ELECTRONIC CONTROL UNIT",28,9
"730","cgw1","263202F100","SERVICE KIT-OIL FILTER(2)",28,10
"1634","ems11","393502A410","SENSOR-LAMBDA",222401,1
"1410","ems11","96560C5000WK","HEAD UNIT ASSY-AVN",121397,2
"1612","ems11","94460C5000","SENDER ASSY-FUEL TANK",94272,3
"1636","ems11","263202F100","SERVICE KIT-OIL FILTER(2)",61763,4
"1409","ems11","5F0252FH00","HEAD ASSY-CYLINDER",54509,5
"1325","ems11","391002FBB3","ELECTRONIC CONTROL UNIT",53190,6
"1192","ems11","37110C5902","BATTERY ASSY",41457,7
"1665","ems11","93570C5110WK","SWITCH ASSY-P/WDO MAIN",39794,8
"1280","ems11","224102F600","COVER ASSY-ROCKER",38733,9
"1629","ems11","392002F000","SENSOR-BOOST PRESSURE",36562,10
"1910","ems12","393502A410","SENSOR-LAMBDA",67,1
"1912","ems12","263202F100","SERVICE KIT-OIL FILTER(2)",50,2
"1865","ems12","96560C5000WK","HEAD UNIT ASSY-AVN",17,3
"1816","ems12","37110C5902","BATTERY ASSY",16,4
"1840","ems12","391002FBB3","ELECTRONIC CONTROL UNIT",16,5
"1905","ems12","94460C5000","SENDER ASSY-FUEL TANK",14,6
"1847","ems12","31110C5900","FUEL PUMP & SENDER MODULE ASSY",12,7
"1908","ems12","37180C5001","SENSOR ASSY-BATTERY",9,8
"1913","ems12","49600C5000","SHAFT ASSY-DRIVE RR,LH",9,9
"1928","ems12","85883C5100WK","TRIM-FR STEP PLATE,RH",9,10
"42","ems16","96560C5000WK","HEAD UNIT ASSY-AVN",12,1
"77","ems16","393502A410","SENSOR-LAMBDA",11,2
"33","ems16","31110C5900","FUEL PUMP & SENDER MODULE ASSY",10,3
"71","ems16","94460C5000","SENDER ASSY-FUEL TANK",7,4
"78","ems16","263202F100","SERVICE KIT-OIL FILTER(2)",7,5
"7","ems16","37110C5902","BATTERY ASSY",5,6
"12","ems16","93490C5100","CONTACT ASSY-CLOCK SPRING",5,7
"28","ems16","391002FBB3","ELECTRONIC CONTROL UNIT",5,8
"44","ems16","85410C5030BGA","HEADLINING ASSY",4,9
"49","ems16","91950C5510","JUNCTION BOX ASSY-I/PNL",4,10
