"ems16_tq_mn","em16_","ems16_tq_t","ems16_tq_mx","ems16_cr__","ems16_n_","ems16_s_","ems16_cf__","ftc11_cr_ftc_tq","ftc11_cf_ftc_cnr","ftc11_cf_ftc_cnc","ftc11_cf_ftc_cv","ftc11_cf_ftc_blwrn","ftc11_cf_ftc_blwrm","ftc11_cf_ftc_n","ftc11_cf_ftc_s","fatc11_cr_ftc_ttmp","ftc11_cr_ftc_ttmps","ftc11_cf_ftc_cm","ftc11_cf_ftc_ct","ftc11_cf_ftc_t","ems_h12_r_t","ems_h12_r_p","ems_h12_t_","ems_h12_cf_ms_s","ems_h12_r_n","ems_h12_cf_ms_d","ems_h12_cf_ms_c","ems_h12_cf_ms_n","e_12___2","t11___","tc11_f_","tc11_tc_t","tc11_tc_b","tc11_sw_g","tc11_g_","tc11_tq_","tc11_tm_","tc11_n_","tc11_sw_c","esp12_lt_","esp12_lt_ccl_s","esp12_lt_ccl_d","esp12_ln_","esp12_lng_ccl_s","esp12_lng_ccl_d","esp12_c_","esp12_cyl_prs_s","esp12_cyl_prss_","esp12_y_","esp12_yw_rt_s","esp12_yw_rt_d","ss11_ss_n","ss11_ss_sp","ss11_ss_st","tc12_t_","tc12_c_","tc12_v_","tc12_nh__","tc12_n_n_","tc12_s__","tc12_n_t_","ems11_s_","ems11_c_","ems11_p_","ems11_r_","ems11_t_","ems11_n","ems11_tqi","ems11_tqf","ems11_v","e2","ems15_c","ems15_n","ems14_l_","ems14_m_","tc13_n__","tc13__","tc13_cf_tc_nh","tc13_cf_tc_sg","tc13_cf_tc_b","tc13_cf_tc_nc","tc13_cf_tc_tr","tc13_cf_tc_sh","tc13_cf_tc_tq","ems12_cn_","ems12_t_","e12____","ems12_ck_","ems12_d__","ems12_cc_","ems12_cl_","ems12_b_","em12_","ems12_p__"
"ems16_tqi_min","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_tqi",".","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_tqi_target",".","+","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_tqi_max"," ",".",".","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_cruise_lamp_s"," "," "," "," ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_eng_stat"," "," "," ","."," ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_soak_time"," "," "," "," "," "," ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ems16_cf_ems_aclact"," "," "," "," "," "," "," ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fatc11_cr_fatc_tqacnout"," "," "," "," "," "," "," "," ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fatc11_cf_fatc_acnrqswi"," "," "," "," "," "," "," "," ",",","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
